"Dist Code","Year","State Code","State Name","Dist Name","NITROGEN CONSUMPTION (tons)","NITROGEN SHARE IN NPK (Percent)","NITROGEN PER HA OF NCA (Kg per ha)","NITROGEN PER HA OF GCA (Kg per ha)","PHOSPHATE CONSUMPTION (tons)","PHOSPHATE SHARE IN NPK (Percent)","PHOSPHATE PER HA OF NCA (Kg per ha)","PHOSPHATE PER HA OF GCA (Kg per ha)","POTASH CONSUMPTION (tons)","POTASH SHARE IN NPK (Percent)","POTASH PER HA OF NCA (Kg per ha)","POTASH PER HA OF GCA (Kg per ha)","TOTAL CONSUMPTION (tons)","TOTAL PER HA OF NCA (Kg per ha)","TOTAL PER HA OF GCA (Kg per ha)"
"86","1997","11","Tamil Nadu","Salem","42970.0","48.13","50.13","38.72","20064.0","22.47","23.41","18.08","26241.0","29.39","30.61","23.64","89275.0","104.14","80.44"
"86","1998","11","Tamil Nadu","Salem","41802.0","47.62","49.34","39.36","23302.0","26.54","27.51","21.94","22681.0","25.84","26.77","21.36","87785.0","103.62","82.66"
"86","1999","11","Tamil Nadu","Salem","46504.0","46.64","54.91","40.85","24047.0","24.12","28.39","21.12","29154.0","29.24","34.42","25.61","99705.0","117.72","87.58"
"86","2000","11","Tamil Nadu","Salem","50109.0","51.95","58.2","43.41","22610.0","23.44","26.26","19.59","23735.0","24.61","27.57","20.56","96454.0","112.03","83.56"
"86","2001","11","Tamil Nadu","Salem","44938.0","49.02","54.06","39.9","21697.0","23.67","26.1","19.26","25040.0","27.31","30.12","22.23","91675.0","110.28","81.39"
"86","2002","11","Tamil Nadu","Salem","34279.0","54.4","47.67","39.07","12220.0","19.39","16.99","13.93","16515.0","26.21","22.96","18.83","63014.0","87.62","71.83"
"86","2003","11","Tamil Nadu","Salem","27369.0","45.02","40.36","35.15","13510.0","22.22","19.92","17.35","19914.0","32.76","29.37","25.57","60793.0","89.65","78.07"
"86","2004","11","Tamil Nadu","Salem","30544.0","41.51","42.44","36.74","16287.0","22.14","22.63","19.59","26746.0","36.35","37.17","32.17","73577.0","102.24","88.51"
"86","2005","11","Tamil Nadu","Salem","35249.0","41.61","47.69","41.08","19773.0","23.34","26.75","23.04","29685.0","35.04","40.16","34.59","84707.0","114.6","98.72"
"86","2006","11","Tamil Nadu","Salem","50315.0","47.29","69.82","62.18","26827.0","25.22","37.23","33.15","29250.0","27.49","40.59","36.15","106392.0","147.64","131.48"
"86","2007","11","Tamil Nadu","Salem","49432.0","46.03","70.57","64.2","25940.0","24.15","37.03","33.69","32018.0","29.81","45.71","41.58","107390.0","153.31","139.47"
"86","2008","11","Tamil Nadu","Salem","62134.0","46.96","89.02","77.92","29175.0","22.05","41.8","36.59","41013.0","30.99","58.76","51.44","132322.0","189.58","165.95"
"86","2009","11","Tamil Nadu","Salem","60407.0","46.67","88.52","77.22","33002.0","25.5","48.36","42.18","36026.0","27.83","52.79","46.05","129435.0","189.68","165.45"
"86","2010","11","Tamil Nadu","Salem","64046.0","43.97","89.84","72.49","38045.0","26.12","53.37","43.06","43575.0","29.91","61.13","49.32","145666.0","204.34","164.87"
"86","2011","11","Tamil Nadu","Salem","73319.0","48.76","97.22","76.05","46145.0","30.69","61.18","47.86","30890.0","20.54","40.96","32.04","150354.0","199.36","155.96"
"86","2012","11","Tamil Nadu","Salem","57696.0","53.18","84.11","67.08","30013.0","27.66","43.75","34.89","20789.0","19.16","30.31","24.17","108498.0","158.17","126.14"
"86","2013","11","Tamil Nadu","Salem","50209.0","53.69","70.2","48.96","24409.0","26.1","34.13","23.8","18903.0","20.21","26.43","18.43","93521.0","130.76","91.2"
"86","2014","11","Tamil Nadu","Salem","61297.0","54.83","86.42","63.5","27280.0","24.4","38.46","28.26","23226.0","20.77","32.75","24.06","111803.0","157.63","115.83"
"86","2015","11","Tamil Nadu","Salem","67254.0","53.71","95.9","70.46","34285.0","27.38","48.89","35.92","23667.0","18.9","33.75","24.79","125206.0","178.54","131.17"
"86","2016","11","Tamil Nadu","Salem","46154.0","50.29","74.08","62.74","28246.0","30.78","45.33","38.4","17376.0","18.93","27.89","23.62","91776.0","147.3","124.75"
"86","2017","11","Tamil Nadu","Salem","46708.0","46.46","-1.0","-1.0","30730.0","30.56","-1.0","-1.0","23106.0","22.98","-1.0","-1.0","100544.0","-1.0","-1.0"
"87","1966","11","Tamil Nadu","Coimbatore","12110.0","47.83","16.67","14.27","8919.0","35.23","12.27","10.51","4291.0","16.95","5.91","5.06","25320.0","34.85","29.83"
"87","1967","11","Tamil Nadu","Coimbatore","17488.0","64.36","25.51","21.72","5673.0","20.88","8.27","7.05","4011.0","14.76","5.85","4.98","27172.0","39.63","33.75"
"87","1968","11","Tamil Nadu","Coimbatore","14853.0","60.46","21.51","18.58","5544.0","22.57","8.03","6.93","4170.0","16.97","6.04","5.22","24567.0","35.57","30.73"
"87","1969","11","Tamil Nadu","Coimbatore","17123.0","66.19","23.78","20.61","4347.0","16.8","6.04","5.23","4398.0","17.0","6.11","5.29","25868.0","35.93","31.13"
"87","1970","11","Tamil Nadu","Coimbatore","27696.0","61.08","38.1","33.12","10556.0","23.28","14.52","12.62","7089.0","15.63","9.75","8.48","45341.0","62.38","54.22"
"87","1971","11","Tamil Nadu","Coimbatore","25000.0","63.9","32.52","28.28","7723.0","19.74","10.05","8.74","6400.0","16.36","8.33","7.24","39123.0","50.9","44.26"
"87","1972","11","Tamil Nadu","Coimbatore","23214.0","55.21","30.99","26.25","10272.0","24.43","13.71","11.61","8560.0","20.36","11.43","9.68","42046.0","56.13","47.54"
"87","1973","11","Tamil Nadu","Coimbatore","23928.0","54.5","32.54","27.44","10881.0","24.78","14.8","12.48","9099.0","20.72","12.37","10.44","43908.0","59.71","50.36"
"87","1974","11","Tamil Nadu","Coimbatore","17179.0","55.57","26.57","23.27","7429.0","24.03","11.49","10.06","6307.0","20.4","9.75","8.54","30915.0","47.81","41.87"
"87","1975","11","Tamil Nadu","Coimbatore","29374.0","63.74","42.02","35.94","6889.0","14.95","9.86","8.43","9821.0","21.31","14.05","12.02","46084.0","65.93","56.39"
"87","1976","11","Tamil Nadu","Coimbatore","27356.0","58.29","40.35","35.61","7179.0","15.3","10.59","9.34","12398.0","26.42","18.29","16.14","46933.0","69.22","61.09"
"87","1977","11","Tamil Nadu","Coimbatore","41734.0","57.25","56.74","48.79","11684.0","16.03","15.89","13.66","19479.0","26.72","26.48","22.77","72897.0","99.11","85.23"
"87","1978","11","Tamil Nadu","Coimbatore","47168.0","55.11","64.92","54.47","14083.0","16.45","19.38","16.26","24345.0","28.44","33.51","28.12","85596.0","117.8","98.85"
"87","1979","11","Tamil Nadu","Coimbatore","48770.0","52.43","68.02","56.58","14764.0","15.87","20.59","17.13","29494.0","31.7","41.14","34.22","93028.0","129.75","107.92"
"87","1980","11","Tamil Nadu","Coimbatore","50681.0","56.18","77.85","66.86","14525.0","16.1","22.31","19.16","25012.0","27.72","38.42","33.0","90218.0","138.58","119.02"
"87","1981","11","Tamil Nadu","Coimbatore","44083.0","59.05","64.45","55.73","13620.0","18.24","19.91","17.22","16955.0","22.71","24.79","21.43","74658.0","109.15","94.38"
"87","1982","11","Tamil Nadu","Coimbatore","42679.0","56.92","66.85","60.97","15431.0","20.58","24.17","22.04","16869.0","22.5","26.42","24.1","74979.0","117.45","107.11"
"87","1983","11","Tamil Nadu","Coimbatore","46144.0","55.17","67.2","60.03","18508.0","22.13","26.95","24.08","18984.0","22.7","27.65","24.7","83636.0","121.79","108.8"
"87","1984","11","Tamil Nadu","Coimbatore","58543.0","55.72","84.11","75.17","20698.0","19.7","29.74","26.58","25819.0","24.58","37.1","33.15","105060.0","150.95","134.9"
"87","1985","11","Tamil Nadu","Coimbatore","52245.0","57.62","77.76","71.46","19740.0","21.77","29.38","27.0","18683.0","20.61","27.81","25.55","90668.0","134.94","124.02"
"87","1986","11","Tamil Nadu","Coimbatore","59062.0","58.75","86.93","75.07","20677.0","20.57","30.43","26.28","20794.0","20.68","30.61","26.43","100533.0","147.97","127.77"
"87","1987","11","Tamil Nadu","Coimbatore","48669.0","52.04","71.44","62.4","21657.0","23.16","31.79","27.77","23198.0","24.8","34.05","29.74","93524.0","137.27","119.92"
"87","1988","11","Tamil Nadu","Coimbatore","57130.0","52.07","89.28","81.57","20120.0","18.34","31.44","28.73","32469.0","29.59","50.74","46.36","109719.0","171.46","156.65"
"87","1989","11","Tamil Nadu","Coimbatore","55587.0","50.02","84.96","76.64","20917.0","18.82","31.97","28.84","34623.0","31.16","52.92","47.74","111127.0","169.84","153.22"
"87","1990","11","Tamil Nadu","Coimbatore","42840.0","49.86","93.53","83.11","14451.0","16.82","31.55","28.04","28632.0","33.32","62.51","55.55","85923.0","187.6","166.69"
"87","1991","11","Tamil Nadu","Coimbatore","40692.0","49.78","87.66","78.35","14362.0","17.57","30.94","27.65","26694.0","32.65","57.51","51.4","81748.0","176.11","157.41"
"87","1992","11","Tamil Nadu","Coimbatore","42538.0","56.32","81.61","73.59","14081.0","18.64","27.01","24.36","18914.0","25.04","36.29","32.72","75533.0","144.91","130.66"
"87","1993","11","Tamil Nadu","Coimbatore","38826.0","53.52","83.64","74.76","13139.0","18.11","28.31","25.3","20584.0","28.37","44.34","39.63","72549.0","156.29","139.69"
"87","1994","11","Tamil Nadu","Coimbatore","38792.0","49.22","77.08","72.4","13979.0","17.74","27.78","26.09","26048.0","33.05","51.76","48.61","78819.0","156.61","147.1"
"87","1995","11","Tamil Nadu","Coimbatore","32711.0","49.76","75.59","71.19","10950.0","16.66","25.3","23.83","22082.0","33.59","51.03","48.06","65743.0","151.92","143.09"
"87","1996","11","Tamil Nadu","Coimbatore","42653.0","55.61","91.13","86.42","11632.0","15.16","24.85","23.57","22421.0","29.23","47.9","45.43","76706.0","163.88","155.41"
"87","1997","11","Tamil Nadu","Coimbatore","51936.0","48.58","107.8","102.37","20179.0","18.88","41.89","39.77","34784.0","32.54","72.2","68.56","106899.0","221.89","210.7"
"87","1998","11","Tamil Nadu","Coimbatore","49354.0","43.18","99.9","94.24","24010.0","21.01","48.6","45.85","40923.0","35.81","82.84","78.14","114287.0","231.34","218.23"
"87","1999","11","Tamil Nadu","Coimbatore","53341.0","44.73","108.01","101.31","25365.0","21.27","51.36","48.17","40553.0","34.0","82.11","77.02","119259.0","241.48","226.5"
"87","2000","11","Tamil Nadu","Coimbatore","46805.0","56.73","98.43","94.12","18030.0","21.85","37.92","36.26","17677.0","21.42","37.17","35.55","82512.0","173.52","165.92"
"87","2001","11","Tamil Nadu","Coimbatore","44992.0","49.28","98.72","94.48","16886.0","18.5","37.05","35.46","29412.0","32.22","64.53","61.76","91290.0","200.3","191.69"
"87","2002","11","Tamil Nadu","Coimbatore","44264.0","52.88","102.33","99.94","15861.0","18.95","36.67","35.81","23586.0","28.18","54.53","53.25","83711.0","193.52","189.01"
"87","2003","11","Tamil Nadu","Coimbatore","39860.0","47.09","87.62","84.92","18042.0","21.32","39.66","38.44","26742.0","31.59","58.78","56.97","84644.0","186.06","180.32"
"87","2004","11","Tamil Nadu","Coimbatore","52534.0","47.57","108.74","102.62","23156.0","20.97","47.93","45.23","34755.0","31.47","71.94","67.89","110445.0","228.6","215.73"
"87","2005","11","Tamil Nadu","Coimbatore","61252.0","48.01","128.9","123.1","27956.0","21.91","58.83","56.18","38386.0","30.08","80.78","77.14","127594.0","268.51","256.42"
"87","2006","11","Tamil Nadu","Coimbatore","58951.0","46.52","125.65","120.53","29953.0","23.64","63.84","61.24","37810.0","29.84","80.59","77.31","126714.0","270.09","259.08"
"87","2007","11","Tamil Nadu","Coimbatore","58576.0","47.08","127.59","123.53","23882.0","19.2","52.02","50.36","41957.0","33.72","91.39","88.48","124415.0","270.99","262.38"
"87","2008","11","Tamil Nadu","Coimbatore","54327.0","46.15","125.26","121.71","22574.0","19.18","52.05","50.57","40816.0","34.67","94.11","91.44","117717.0","271.41","263.73"
"87","2009","11","Tamil Nadu","Coimbatore","52219.0","46.25","122.04","118.96","23264.0","20.61","54.37","53.0","37414.0","33.14","87.44","85.23","112897.0","263.84","257.19"
"87","2010","11","Tamil Nadu","Coimbatore","57246.0","48.57","136.78","133.68","24290.0","20.61","58.04","56.72","36338.0","30.83","86.83","84.85","117874.0","281.64","275.25"
"87","2011","11","Tamil Nadu","Coimbatore","55554.0","47.81","130.03","125.08","28085.0","24.17","65.74","63.23","32563.0","28.02","76.22","73.31","116202.0","271.98","261.62"
"87","2012","11","Tamil Nadu","Coimbatore","45896.0","56.57","119.19","116.79","17160.0","21.15","44.56","43.66","18072.0","22.28","46.93","45.99","81127.0","210.68","206.44"
"87","2013","11","Tamil Nadu","Coimbatore","40032.0","53.93","102.92","99.87","14529.0","19.57","37.35","36.25","19666.0","26.49","50.56","49.06","74227.0","190.83","185.18"
"87","2014","11","Tamil Nadu","Coimbatore","46296.0","50.36","121.0","118.67","19380.0","21.08","50.65","49.68","26260.0","28.56","68.63","67.31","91935.0","240.28","235.66"
"87","2015","11","Tamil Nadu","Coimbatore","52115.0","52.77","136.04","132.49","21136.0","21.4","55.17","53.73","25516.0","25.83","66.61","64.87","98767.0","257.83","251.1"
"87","2016","11","Tamil Nadu","Coimbatore","37050.0","49.42","101.72","99.82","16684.0","22.25","45.81","44.95","21236.0","28.33","58.3","57.21","74969.0","205.83","201.98"
"87","2017","11","Tamil Nadu","Coimbatore","26117.0","42.41","-1.0","-1.0","14250.0","23.14","-1.0","-1.0","21215.0","34.45","-1.0","-1.0","61582.0","-1.0","-1.0"
"88","1966","11","Tamil Nadu","Tiruchirapalli / Trichy","7940.0","43.54","10.78","9.51","5847.0","32.06","7.94","7.0","4451.0","24.41","6.04","5.33","18238.0","24.77","21.85"
"88","1967","11","Tamil Nadu","Tiruchirapalli / Trichy","7630.0","52.06","10.44","9.39","2865.0","19.55","3.92","3.53","4161.0","28.39","5.69","5.12","14656.0","20.05","18.04"
"88","1968","11","Tamil Nadu","Tiruchirapalli / Trichy","11242.0","56.27","15.51","14.13","4410.0","22.07","6.08","5.54","4326.0","21.65","5.97","5.44","19978.0","27.56","25.11"
"88","1969","11","Tamil Nadu","Tiruchirapalli / Trichy","12981.0","57.79","17.8","16.07","4920.0","21.9","6.75","6.09","4562.0","20.31","6.25","5.65","22463.0","30.8","27.81"
"88","1970","11","Tamil Nadu","Tiruchirapalli / Trichy","18756.0","55.65","24.89","22.48","7594.0","22.53","10.08","9.1","7351.0","21.81","9.75","8.81","33701.0","44.71","40.39"
"88","1971","11","Tamil Nadu","Tiruchirapalli / Trichy","25047.0","62.39","32.36","29.43","8459.0","21.07","10.93","9.94","6639.0","16.54","8.58","7.8","40145.0","51.86","47.17"
"88","1972","11","Tamil Nadu","Tiruchirapalli / Trichy","25841.0","56.34","33.93","29.8","11142.0","24.29","14.63","12.85","8880.0","19.36","11.66","10.24","45863.0","60.23","52.89"
"88","1973","11","Tamil Nadu","Tiruchirapalli / Trichy","26636.0","56.4","35.52","31.41","11151.0","23.61","14.87","13.15","9439.0","19.99","12.59","11.13","47226.0","62.98","55.7"
"88","1974","11","Tamil Nadu","Tiruchirapalli / Trichy","19124.0","56.57","29.23","26.72","8137.0","24.07","12.44","11.37","6542.0","19.35","10.0","9.14","33803.0","51.67","47.23"
"88","1975","11","Tamil Nadu","Tiruchirapalli / Trichy","22768.0","67.19","31.95","28.3","4737.0","13.98","6.65","5.89","6380.0","18.83","8.95","7.93","33885.0","47.54","42.11"
"88","1976","11","Tamil Nadu","Tiruchirapalli / Trichy","18982.0","63.37","26.58","24.25","4769.0","15.92","6.68","6.09","6201.0","20.7","8.68","7.92","29952.0","41.94","38.26"
"88","1977","11","Tamil Nadu","Tiruchirapalli / Trichy","28710.0","59.33","37.82","34.16","7968.0","16.47","10.5","9.48","11714.0","24.21","15.43","13.94","48392.0","63.75","57.58"
"88","1978","11","Tamil Nadu","Tiruchirapalli / Trichy","35363.0","59.62","54.5","42.08","10090.0","17.01","15.55","12.01","13859.0","23.37","21.36","16.49","59312.0","91.4","70.58"
"88","1979","11","Tamil Nadu","Tiruchirapalli / Trichy","38051.0","57.31","51.48","45.34","12125.0","18.26","16.41","14.45","16218.0","24.43","21.94","19.32","66394.0","89.83","79.11"
"88","1980","11","Tamil Nadu","Tiruchirapalli / Trichy","31630.0","57.42","53.05","47.69","8983.0","16.31","15.07","13.54","14471.0","26.27","24.27","21.82","55084.0","92.39","83.05"
"88","1981","11","Tamil Nadu","Tiruchirapalli / Trichy","35123.0","60.5","51.42","40.09","9541.0","16.43","13.97","10.89","13394.0","23.07","19.61","15.29","58058.0","85.0","66.28"
"88","1982","11","Tamil Nadu","Tiruchirapalli / Trichy","28909.0","56.44","44.92","42.48","10389.0","20.28","16.14","15.26","11926.0","23.28","18.53","17.52","51224.0","79.6","75.26"
"88","1983","11","Tamil Nadu","Tiruchirapalli / Trichy","41389.0","58.42","58.53","53.88","14898.0","21.03","21.07","19.4","14555.0","20.55","20.58","18.95","70842.0","100.19","92.23"
"88","1984","11","Tamil Nadu","Tiruchirapalli / Trichy","46367.0","59.36","68.06","62.13","14076.0","18.02","20.66","18.86","17671.0","22.62","25.94","23.68","78114.0","114.65","104.67"
"88","1985","11","Tamil Nadu","Tiruchirapalli / Trichy","37938.0","58.24","57.13","53.12","13306.0","20.42","20.04","18.63","13902.0","21.34","20.93","19.47","65146.0","98.1","91.22"
"88","1986","11","Tamil Nadu","Tiruchirapalli / Trichy","47722.0","61.27","70.63","65.33","14998.0","19.26","22.2","20.53","15164.0","19.47","22.44","20.76","77884.0","115.26","106.62"
"88","1987","11","Tamil Nadu","Tiruchirapalli / Trichy","43854.0","57.46","63.61","59.84","15633.0","20.48","22.68","21.33","16839.0","22.06","24.43","22.98","76326.0","110.71","104.16"
"88","1988","11","Tamil Nadu","Tiruchirapalli / Trichy","40874.0","51.42","64.65","61.67","14038.0","17.66","22.2","21.18","24575.0","30.92","38.87","37.08","79487.0","125.73","119.93"
"88","1989","11","Tamil Nadu","Tiruchirapalli / Trichy","38777.0","47.25","60.18","54.94","15592.0","19.0","24.2","22.09","27699.0","33.75","42.99","39.24","82068.0","127.38","116.28"
"88","1990","11","Tamil Nadu","Tiruchirapalli / Trichy","55441.0","49.92","73.44","67.93","21041.0","18.95","27.87","25.78","34581.0","31.14","45.81","42.37","111062.0","147.11","136.09"
"88","1991","11","Tamil Nadu","Tiruchirapalli / Trichy","55192.0","45.17","71.07","63.5","21150.0","17.31","27.23","24.33","45838.0","37.52","59.02","52.74","122179.0","157.32","140.58"
"88","1992","11","Tamil Nadu","Tiruchirapalli / Trichy","58045.0","54.39","73.33","65.4","21566.0","20.21","27.24","24.3","27103.0","25.4","34.24","30.54","106714.0","134.82","120.24"
"88","1993","11","Tamil Nadu","Tiruchirapalli / Trichy","57147.0","51.91","73.58","65.75","22329.0","20.28","28.75","25.69","30617.0","27.81","39.42","35.23","110093.0","141.76","126.67"
"88","1994","11","Tamil Nadu","Tiruchirapalli / Trichy","57797.0","51.85","79.34","72.14","21248.0","19.06","29.17","26.52","32428.0","29.09","44.51","40.48","111474.0","153.02","139.14"
"88","1995","11","Tamil Nadu","Tiruchirapalli / Trichy","54504.0","55.28","80.67","75.63","16338.0","16.57","24.18","22.67","27755.0","28.15","41.08","38.51","98597.0","145.93","136.81"
"88","1996","11","Tamil Nadu","Tiruchirapalli / Trichy","65729.0","60.65","94.0","86.28","19399.0","17.9","27.74","25.46","23247.0","21.45","33.25","30.52","108375.0","155.0","142.26"
"88","1997","11","Tamil Nadu","Tiruchirapalli / Trichy","67335.0","47.29","96.3","88.74","30228.0","21.23","43.23","39.84","44828.0","31.48","64.11","59.08","142391.0","203.63","187.66"
"88","1998","11","Tamil Nadu","Tiruchirapalli / Trichy","72774.0","52.09","102.07","94.52","28794.0","20.61","40.39","37.4","38131.0","27.3","53.48","49.53","139699.0","195.94","181.44"
"88","1999","11","Tamil Nadu","Tiruchirapalli / Trichy","80650.0","50.95","112.93","103.23","33013.0","20.86","46.23","42.26","44618.0","28.19","62.48","57.11","158281.0","221.63","202.6"
"88","2000","11","Tamil Nadu","Tiruchirapalli / Trichy","76823.0","57.15","108.99","99.98","27600.0","20.53","39.16","35.92","30003.0","22.32","42.57","39.05","134426.0","190.72","174.95"
"88","2001","11","Tamil Nadu","Tiruchirapalli / Trichy","69854.0","49.69","106.84","98.91","29349.0","20.88","44.89","41.56","41388.0","29.44","63.3","58.61","140592.0","215.03","199.08"
"88","2002","11","Tamil Nadu","Tiruchirapalli / Trichy","55423.0","53.74","94.93","90.23","21022.0","20.38","36.01","34.23","26688.0","25.88","45.71","43.45","103132.0","176.64","167.91"
"88","2003","11","Tamil Nadu","Tiruchirapalli / Trichy","47740.0","49.57","78.86","75.04","23070.0","23.95","38.11","36.26","25504.0","26.48","42.13","40.09","96314.0","159.11","151.39"
"88","2004","11","Tamil Nadu","Tiruchirapalli / Trichy","61458.0","46.18","89.3","82.59","33496.0","25.17","48.67","45.01","38140.0","28.66","55.42","51.25","133094.0","193.38","178.86"
"88","2005","11","Tamil Nadu","Tiruchirapalli / Trichy","70762.0","46.34","98.43","92.42","40178.0","26.31","55.89","52.48","41777.0","27.36","58.11","54.56","152717.0","212.42","199.46"
"88","2006","11","Tamil Nadu","Tiruchirapalli / Trichy","88431.0","46.18","128.06","122.4","46556.0","24.31","67.42","64.44","56502.0","29.51","81.82","78.21","191488.0","277.29","265.05"
"88","2007","11","Tamil Nadu","Tiruchirapalli / Trichy","100454.0","47.43","147.97","138.83","47693.0","22.52","70.25","65.91","63638.0","30.05","93.74","87.95","211786.0","311.96","292.7"
"88","2008","11","Tamil Nadu","Tiruchirapalli / Trichy","105578.0","48.41","153.68","142.51","44863.0","20.57","65.3","60.56","67655.0","31.02","98.48","91.32","218097.0","317.46","294.39"
"88","2009","11","Tamil Nadu","Tiruchirapalli / Trichy","95992.0","49.04","145.09","136.08","42763.0","21.85","64.63","60.62","56997.0","29.12","86.15","80.8","195752.0","295.87","277.49"
"88","2010","11","Tamil Nadu","Tiruchirapalli / Trichy","95910.0","50.4","145.12","136.16","43088.0","22.64","65.2","61.17","51291.0","26.95","77.61","72.82","190290.0","287.93","270.15"
"88","2011","11","Tamil Nadu","Tiruchirapalli / Trichy","107787.0","51.38","163.73","154.05","54335.0","25.9","82.53","77.66","47674.0","22.72","72.42","68.14","209797.0","318.68","299.84"
"88","2012","11","Tamil Nadu","Tiruchirapalli / Trichy","83411.0","58.93","145.57","140.59","33495.0","23.67","58.46","56.45","24631.0","17.4","42.99","41.51","141537.0","247.01","238.56"
"88","2013","11","Tamil Nadu","Tiruchirapalli / Trichy","78184.0","59.01","127.96","119.73","29089.0","21.95","47.61","44.55","25226.0","19.04","41.29","38.63","132499.0","216.85","202.92"
"88","2014","11","Tamil Nadu","Tiruchirapalli / Trichy","84259.0","56.33","131.64","120.9","33209.0","22.2","51.88","47.65","32102.0","21.46","50.15","46.06","149569.0","233.68","214.61"
"88","2015","11","Tamil Nadu","Tiruchirapalli / Trichy","91863.0","55.19","145.9","132.54","40816.0","24.52","64.82","58.89","33773.0","20.29","53.64","48.73","166452.0","264.36","240.15"
"88","2016","11","Tamil Nadu","Tiruchirapalli / Trichy","63882.0","53.73","128.0","121.78","31045.0","26.11","62.2","59.18","23973.0","20.16","48.03","45.7","118900.0","238.23","226.66"
"88","2017","11","Tamil Nadu","Tiruchirapalli / Trichy","68490.0","57.17","-1.0","-1.0","25236.0","21.06","-1.0","-1.0","26076.0","21.77","-1.0","-1.0","119802.0","-1.0","-1.0"
"89","1966","11","Tamil Nadu","Thanjavur","17446.0","63.69","28.82","21.95","4914.0","17.94","8.12","6.18","5034.0","18.38","8.32","6.33","27394.0","45.25","34.47"
"89","1967","11","Tamil Nadu","Thanjavur","21141.0","67.62","35.01","25.02","5418.0","17.33","8.97","6.41","4705.0","15.05","7.79","5.57","31264.0","51.77","37.01"
"89","1968","11","Tamil Nadu","Thanjavur","16713.0","62.57","27.57","19.62","5107.0","19.12","8.42","5.99","4892.0","18.31","8.07","5.74","26712.0","44.06","31.35"
"89","1969","11","Tamil Nadu","Thanjavur","24500.0","66.56","40.06","28.84","7148.0","19.42","11.69","8.41","5160.0","14.02","8.44","6.07","36808.0","60.18","43.33"
"89","1970","11","Tamil Nadu","Thanjavur","23213.0","52.22","37.84","26.31","12926.0","29.08","21.07","14.65","8317.0","18.71","13.56","9.43","44456.0","72.47","50.39"
"89","1971","11","Tamil Nadu","Thanjavur","32859.0","68.66","53.01","35.74","7489.0","15.65","12.08","8.14","7508.0","15.69","12.11","8.17","47856.0","77.2","52.05"
"89","1972","11","Tamil Nadu","Thanjavur","33901.0","63.0","55.03","35.07","9864.0","18.33","16.01","10.2","10043.0","18.66","16.3","10.39","53808.0","87.35","55.66"
"89","1973","11","Tamil Nadu","Thanjavur","34944.0","62.97","56.44","35.28","9872.0","17.79","15.95","9.97","10675.0","19.24","17.24","10.78","55491.0","89.63","56.03"
"89","1974","11","Tamil Nadu","Thanjavur","25089.0","63.21","42.47","28.37","7204.0","18.15","12.2","8.15","7399.0","18.64","12.53","8.37","39692.0","67.19","44.89"
"89","1975","11","Tamil Nadu","Thanjavur","35088.0","68.52","57.16","37.11","9729.0","19.0","15.85","10.29","6395.0","12.49","10.42","6.76","51212.0","83.42","54.17"
"89","1976","11","Tamil Nadu","Thanjavur","26521.0","66.04","44.55","30.9","4750.0","11.83","7.98","5.53","8886.0","22.13","14.93","10.35","40157.0","67.46","46.79"
"89","1977","11","Tamil Nadu","Thanjavur","41009.0","61.21","66.13","42.73","11819.0","17.64","19.06","12.31","14172.0","21.15","22.85","14.77","67000.0","108.05","69.81"
"89","1978","11","Tamil Nadu","Thanjavur","43971.0","60.7","70.69","45.44","15895.0","21.94","25.55","16.43","12577.0","17.36","20.22","13.0","72443.0","116.47","74.86"
"89","1979","11","Tamil Nadu","Thanjavur","97619.0","75.45","155.47","100.88","15436.0","11.93","24.58","15.95","16325.0","12.62","26.0","16.87","129380.0","206.05","133.7"
"89","1980","11","Tamil Nadu","Thanjavur","36896.0","59.31","61.31","39.06","12277.0","19.74","20.4","13.0","13034.0","20.95","21.66","13.8","62207.0","103.37","65.86"
"89","1981","11","Tamil Nadu","Thanjavur","44948.0","61.3","73.44","48.7","14916.0","20.34","24.37","16.16","13463.0","18.36","22.0","14.59","73327.0","119.82","79.44"
"89","1982","11","Tamil Nadu","Thanjavur","48936.0","58.26","87.25","62.2","18097.0","21.54","32.26","23.0","16966.0","20.2","30.25","21.57","83999.0","149.76","106.77"
"89","1983","11","Tamil Nadu","Thanjavur","47176.0","60.47","79.0","57.63","15674.0","20.09","26.25","19.15","15168.0","19.44","25.4","18.53","78018.0","130.64","95.31"
"89","1984","11","Tamil Nadu","Thanjavur","57620.0","59.96","95.41","58.96","18498.0","19.25","30.63","18.93","19979.0","20.79","33.08","20.45","96097.0","159.13","98.34"
"89","1985","11","Tamil Nadu","Thanjavur","57810.0","60.18","100.14","69.04","19188.0","19.98","33.24","22.92","19060.0","19.84","33.02","22.76","96058.0","166.39","114.72"
"89","1986","11","Tamil Nadu","Thanjavur","65953.0","60.22","114.42","75.68","21124.0","19.29","36.65","24.24","22452.0","20.5","38.95","25.76","109529.0","190.02","125.68"
"89","1987","11","Tamil Nadu","Thanjavur","57389.0","58.36","101.02","72.76","20055.0","20.39","35.3","25.43","20891.0","21.24","36.77","26.49","98335.0","173.09","124.68"
"89","1988","11","Tamil Nadu","Thanjavur","69816.0","56.66","119.86","85.15","24266.0","19.69","41.66","29.6","29140.0","23.65","50.03","35.54","123222.0","211.54","150.29"
"89","1989","11","Tamil Nadu","Thanjavur","63043.0","51.15","108.32","72.54","25499.0","20.69","43.81","29.34","34702.0","28.16","59.63","39.93","123244.0","211.76","141.81"
